identity,labels,storage_type,processor_type,unique_id,memory,gpu_type,memory_type,storage,processor,gpu,available_processor,available_storage,name,available_region,available_memory,available_gpu,elementId
19,Node,Fusion Drive,AMD Ryzen,2641590e-9c56-458a-9e29-96a60fbf13be,16,AMD Radeon RX,DDR5,48,14,14,4.666666666666667,16,ProLiant DL380 Gen10 Rack Server,china,5.333333333333333,4.666666666666667,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:19
20,Node,HDD,AMD Ryzen,3e0422fa-2793-46b0-82ff-14e4217fbd6b,2,NVIDIA Quadro,DDR3,2,2,2,0.6666666666666666,0.6666666666666666,ProLiant DL360 Gen10 Rack Server,china,0.6666666666666666,0.6666666666666666,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:20
21,Node,Hybrid Drive,AMD Ryzen Threadripper,35e71ba0-a774-4727-af5f-154aee6649ca,12,NVIDIA GeForce RTX,DDR4,24,10,10,1.6666666666666667,4,SuperServer 10210U Rack Server,china,2,1.6666666666666667,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:21
22,Node,M.2 SSD,AMD Ryzen,063e9f35-63de-4f3e-92df-15358a469401,24,NVIDIA Quadro RTX,DDR5,512,22,22,11,256,SuperServer 6019U Rack Server,china,12,11,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:22
23,Node,M.2 SSD,AMD Ryzen,d97d0303-727a-4688-9293-da3bf96346f7,24,NVIDIA Quadro RTX,DDR5,512,22,22,4.4,102.4,SuperServer 6019U Rack Server,china,4.8,4.4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:23
24,Node,NVMe,Intel Core i9,f9d68b0b-61ad-41d1-b443-ee19498a2dea,4,AMD Radeon Pro,DDR5,4,4,4,0.6666666666666666,0.6666666666666666,ThinkSystem SR650 Rack Server,china,0.6666666666666666,0.6666666666666666,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:24
25,Node,External SSD,AMD EPYC,14a43cf1-dc5b-4384-bb25-730de82cca29,28,NVIDIA Tesla T4,DDR6,2048,26,32,26,2048,ProLiant DL325 Gen10 Rack Server,china,28,32,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:25
26,Node,Flash Memory,Intel Core i5,29ba5da4-ba44-4325-a416-47eabc942c55,14,NVIDIA Quadro RTX,DDR3,32,12,12,2,5.333333333333333,PowerEdge R640 Rack Server,china,2.3333333333333335,2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:26
27,Node,M.2 SSD,AMD Ryzen,851048d4-5c58-4b65-95f0-6fd9e4b365de,24,NVIDIA Quadro RTX,DDR5,512,22,22,22,512,SuperServer 6019U Rack Server,china,24,22,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:27
28,Node,External HDD,Intel Xeon,7aac1c9c-c311-4415-9fea-61b000044d18,18,NVIDIA Tesla V100,DDR6,64,16,16,16,64,ThinkSystem SR630 Rack Server,china,18,16,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:28
29,Node,HDD,AMD Ryzen,45bb1fee-5b2b-4cc2-a6ca-268034cbd006,2,NVIDIA Quadro,DDR3,2,2,2,0.3333333333333333,0.3333333333333333,ProLiant DL360 Gen10 Rack Server,china,0.3333333333333333,0.3333333333333333,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:29
30,Node,HDD,AMD Ryzen,89a5f8ad-4100-4558-8e68-8d043752380f,2,NVIDIA Quadro,DDR3,2,2,2,0.3333333333333333,0.3333333333333333,ProLiant DL360 Gen10 Rack Server,china,0.3333333333333333,0.3333333333333333,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:30
31,Node,eMMC Storage,AMD Ryzen,09ef71d7-7cff-4a66-bd6a-c95f33a83ff7,32,NVIDIA GeForce RTX,DDR3,8196,30,64,6,1639.2,PrimeServer Rack IX Rack Server,china,6.4,12.8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:31
32,Node,HDD,AMD Ryzen,d733bc07-3c14-43bf-9d2d-bf4f8580a592,2,NVIDIA Quadro,DDR3,2,2,2,0.6666666666666666,0.6666666666666666,ProLiant DL360 Gen10 Rack Server,china,0.6666666666666666,0.6666666666666666,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:32
33,Node,M.2 SSD,AMD Ryzen,540bce23-a6cc-4d86-b417-0506d1d419e8,24,NVIDIA Quadro RTX,DDR5,512,22,22,5.5,128,SuperServer 6019U Rack Server,china,6,5.5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:33
34,Node,M.2 SSD,AMD Ryzen,beee24b6-a725-42be-8106-1fb6242545ab,24,NVIDIA Quadro RTX,DDR5,512,22,22,7.333333333333333,170.66666666666666,SuperServer 6019U Rack Server,china,8,7.333333333333333,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:34
35,Node,USB Flash Drive,Intel Core i9,b0c59bd7-6667-49ca-9833-029c45ae2b07,22,NVIDIA GeForce GTX,DDR3,256,20,20,3.3333333333333335,42.666666666666664,Precision 7920 Tower Workstation,china,3.6666666666666665,3.3333333333333335,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:35
36,Node,Flash Memory,Intel Core i5,079de90a-97a3-492b-abbc-86d52c32f2b1,14,NVIDIA Quadro RTX,DDR3,32,12,12,3,8,PowerEdge R640 Rack Server,china,3.5,3,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:36
37,Node,External HDD,Intel Xeon,d8d6bef5-2865-427b-8bd1-877374480bb2,18,NVIDIA Tesla V100,DDR6,64,16,16,3.2,12.8,ThinkSystem SR630 Rack Server,china,3.6,3.2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:37
38,Node,Flash Memory,Intel Core i5,891d354e-8d78-44d7-ad26-782a6f14f8f5,14,NVIDIA Quadro RTX,DDR3,32,12,12,2.4,6.4,PowerEdge R640 Rack Server,china,2.8,2.4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:38
39,Node,Cloud Storage,AMD EPYC,d7c960c0-9471-4a3f-a06b-97a97e7538a8,20,AMD Radeon Pro WX,DDR4,128,18,18,4.5,32,PrimeServer Pro Rack III Rack Server,china,5,4.5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:39
40,Node,USB Flash Drive,Intel Core i9,b192bb9e-f287-4ecd-8aa1-32aab5a79683,22,NVIDIA GeForce GTX,DDR3,256,20,20,4,51.2,Precision 7920 Tower Workstation,china,4.4,4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:40
41,Node,SATA HDD,Intel Core i7,143aed21-75c7-4bba-99ac-b355785e2d17,26,AMD Radeon Pro WX,DDR7,1024,24,24,4.8,204.8,PowerEdge R740 Rack Server,china,5.2,4.8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:41
42,Node,HDD,AMD Ryzen,2f4497e7-a284-496f-ac91-8fc8ef4d1e5d,2,NVIDIA Quadro,DDR3,2,2,2,0.6666666666666666,0.6666666666666666,ProLiant DL360 Gen10 Rack Server,china,0.6666666666666666,0.6666666666666666,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:42
43,Node,SSD,Intel Xeon,2615b68f-7c73-478b-85cf-b4750cd0ccb3,1,NVIDIA GeForce,DDR4,1,1,1,0.3333333333333333,0.3333333333333333,PowerEdge R660 Rack Server,china,0.3333333333333333,0.3333333333333333,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:43
44,Node,Flash Memory,Intel Core i5,0d280fbc-3753-4ae6-adb3-3515ee4112dd,14,NVIDIA Quadro RTX,DDR3,32,12,12,3,8,PowerEdge R640 Rack Server,china,3.5,3,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:44
45,Node,External SSD,AMD EPYC,1a573447-e9e2-4852-8a2c-cd56c46ccf72,28,NVIDIA Tesla T4,DDR6,2048,26,32,8.666666666666666,682.6666666666666,ProLiant DL325 Gen10 Rack Server,china,9.333333333333334,10.666666666666666,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:45
46,Node,SATA HDD,Intel Core i7,3be3409a-3535-4dde-83cd-a84271327ddb,26,AMD Radeon Pro WX,DDR7,1024,24,24,24,1024,PowerEdge R740 Rack Server,china,26,24,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:46
47,Node,eMMC Storage,AMD Ryzen,39fc5d27-cae5-4dc1-a772-e056a435fed5,32,NVIDIA GeForce RTX,DDR3,8196,30,64,6,1639.2,PrimeServer Rack IX Rack Server,china,6.4,12.8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:47
48,Node,HDD,AMD Ryzen,9a8abae0-8f85-4867-b19e-d9e6ae0a259c,2,NVIDIA Quadro,DDR3,2,2,2,0.4,0.4,ProLiant DL360 Gen10 Rack Server,china,0.4,0.4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:48
49,Node,External SSD,AMD EPYC,e1d4724a-2492-47d6-a227-4b1b19bd41e6,28,NVIDIA Tesla T4,DDR6,2048,26,32,4.333333333333333,341.3333333333333,ProLiant DL325 Gen10 Rack Server,china,4.666666666666667,5.333333333333333,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:49
50,Node,Hybrid Drive,AMD Ryzen Threadripper,68783589-4338-4db6-9400-ca61854b88f6,12,NVIDIA GeForce RTX,DDR4,24,10,10,2,4.8,SuperServer 10210U Rack Server,china,2.4,2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:50
51,Node,External HDD,Intel Xeon,cebed95d-af4e-4d84-a7c7-401ca020f03b,18,NVIDIA Tesla V100,DDR6,64,16,16,5.333333333333333,21.333333333333332,ThinkSystem SR630 Rack Server,china,6,5.333333333333333,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:51
52,Node,Cloud Storage,AMD EPYC,4a4252ab-c6e5-41b9-8075-3135c323dd7d,20,AMD Radeon Pro WX,DDR4,128,18,18,4.5,32,PrimeServer Pro Rack III Rack Server,china,5,4.5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:52
53,Node,M.2 SSD,AMD Ryzen,32a8d750-46dd-490e-8903-15be87d73eb6,24,NVIDIA Quadro RTX,DDR5,512,22,22,22,512,SuperServer 6019U Rack Server,china,24,22,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:53
54,Node,NAS Storage,Intel Xeon,a30f4132-5612-4a78-90f2-7940b3b8e9be,30,AMD Radeon VII,DDR4,4096,28,48,28,4096,ThinkSystem SR530 Rack Server,china,30,48,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:54
55,Node,USB Flash Drive,Intel Core i9,4c747e81-5847-46ac-9bbb-e1d99b0a685d,22,NVIDIA GeForce GTX,DDR3,256,20,20,20,256,Precision 7920 Tower Workstation,china,22,20,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:55
56,Node,Flash Storage,AMD EPYC,da893c10-9d5b-4b2f-900e-8f03b168179f,8,NVIDIA Tesla,DDR6,8,6,6,2,2.6666666666666665,PrimeServer Rack V Rack Server,china,2.6666666666666665,2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:56
57,Node,SATA HDD,Intel Core i7,be85de1e-8353-46f2-bc9e-b8e6d5792bd0,26,AMD Radeon Pro WX,DDR7,1024,24,24,24,1024,PowerEdge R740 Rack Server,china,26,24,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:57
58,Node,USB Flash Drive,Intel Core i9,c7972b2a-f40b-4a98-9800-6738b89c9a3e,22,NVIDIA GeForce GTX,DDR3,256,20,20,5,64,Precision 7920 Tower Workstation,china,5.5,5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:58
59,Node,SATA HDD,Intel Core i7,7797d581-12b5-48e0-9654-bb212e76eac5,26,AMD Radeon Pro WX,DDR7,1024,24,24,4.8,204.8,PowerEdge R740 Rack Server,china,5.2,4.8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:59
60,Node,Flash Memory,Intel Core i5,e1516238-2645-4958-af67-1c65a6d2e953,14,NVIDIA Quadro RTX,DDR3,32,12,12,6,16,PowerEdge R640 Rack Server,china,7,6,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:60
61,Node,Flash Storage,AMD EPYC,10a0fd9a-467b-4c7f-9670-492931817b90,8,NVIDIA Tesla,DDR6,8,6,6,6,8,PrimeServer Rack V Rack Server,china,8,6,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:61
62,Node,External HDD,Intel Xeon,c25ab625-b129-4f30-8813-d5feed103982,18,NVIDIA Tesla V100,DDR6,64,16,16,5.333333333333333,21.333333333333332,ThinkSystem SR630 Rack Server,china,6,5.333333333333333,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:62
63,Node,USB Flash Drive,Intel Core i9,8320757e-0808-4e25-a365-2fc78787ac49,22,NVIDIA GeForce GTX,DDR3,256,20,20,5,64,Precision 7920 Tower Workstation,china,5.5,5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:63
64,Node,Flash Storage,AMD EPYC,edbbb85c-4141-4fa7-9b3b-9cb241f275fd,8,NVIDIA Tesla,DDR6,8,6,6,3,4,PrimeServer Rack V Rack Server,china,4,3,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:64
65,Node,M.2 SSD,AMD Ryzen,f6a3a5e9-f673-4cc8-ba3e-8f8b60be0799,24,NVIDIA Quadro RTX,DDR5,512,22,22,7.333333333333333,170.66666666666666,SuperServer 6019U Rack Server,china,8,7.333333333333333,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:65
66,Node,Hybrid Drive,AMD Ryzen Threadripper,c414bd35-797a-4ea0-8abf-8ccc5e0359da,12,NVIDIA GeForce RTX,DDR4,24,10,10,2.5,6,SuperServer 10210U Rack Server,china,3,2.5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:66
67,Node,SATA HDD,Intel Core i7,9e84ba32-ae2f-4194-9637-d25568e30762,26,AMD Radeon Pro WX,DDR7,1024,24,24,12,512,PowerEdge R740 Rack Server,china,13,12,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:67
68,Node,NAS Storage,Intel Xeon,fdbb8589-477e-41a0-8151-1c973813671b,30,AMD Radeon VII,DDR4,4096,28,48,14,2048,ThinkSystem SR530 Rack Server,china,15,24,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:68
69,Node,SSD,Intel Xeon,87b73367-7891-4bdc-b637-da14208c97ef,1,NVIDIA GeForce,DDR4,1,1,1,1,1,PowerEdge R660 Rack Server,china,1,1,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:69
70,Node,eMMC Storage,AMD Ryzen,f3936e92-10dd-4ba0-83f8-f63f1fe5766c,32,NVIDIA GeForce RTX,DDR3,8196,30,64,7.5,2049,PrimeServer Rack IX Rack Server,china,8,16,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:70
71,Node,SATA SSD,Intel Core i7,eddbe41f-9b83-4704-b29b-85bb3ca0af7a,10,AMD Radeon,DDR7,16,8,8,2,4,Precision 7920 Rack Workstation,china,2.5,2,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:71
72,Node,External HDD,Intel Xeon,41920f7a-70ff-4b30-adcb-58ca845e12b3,18,NVIDIA Tesla V100,DDR6,64,16,16,8,32,ThinkSystem SR630 Rack Server,china,9,8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:72
73,Node,USB Flash Drive,Intel Core i9,356c3680-9fca-41cc-aed5-dc7538f4df82,22,NVIDIA GeForce GTX,DDR3,256,20,20,5,64,Precision 7920 Tower Workstation,china,5.5,5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:73
74,Node,Flash Memory,Intel Core i5,435da7c5-b175-499c-b58a-feedddfe8b63,14,NVIDIA Quadro RTX,DDR3,32,12,12,4,10.666666666666666,PowerEdge R640 Rack Server,china,4.666666666666667,4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:74
75,Node,NAS Storage,Intel Xeon,f7b00971-8d9d-4832-aadb-8adf0207651a,30,AMD Radeon VII,DDR4,4096,28,48,14,2048,ThinkSystem SR530 Rack Server,china,15,24,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:75
76,Node,Flash Memory,Intel Core i5,3aa2cde2-d0d1-427d-aa05-fa873711ce2e,14,NVIDIA Quadro RTX,DDR3,32,12,12,2.4,6.4,PowerEdge R640 Rack Server,china,2.8,2.4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:76
77,Node,NAS Storage,Intel Xeon,23366bb2-2901-4d39-b8fd-f30b6f91a70f,30,AMD Radeon VII,DDR4,4096,28,48,28,4096,ThinkSystem SR530 Rack Server,china,30,48,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:77
78,Node,SSD,Intel Xeon,e6cb3b06-2b6d-485d-a7be-7823f8443b12,1,NVIDIA GeForce,DDR4,1,1,1,0.5,0.5,PowerEdge R660 Rack Server,china,0.5,0.5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:78
79,Node,SATA HDD,Intel Core i7,6d3a2178-22fa-4f70-97e3-981091bc8586,26,AMD Radeon Pro WX,DDR7,1024,24,24,24,1024,PowerEdge R740 Rack Server,china,26,24,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:79
80,Node,Flash Memory,Intel Core i5,94ac0f33-832c-4075-bdd9-d6092b438543,14,NVIDIA Quadro RTX,DDR3,32,12,12,2.4,6.4,PowerEdge R640 Rack Server,china,2.8,2.4,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:80
81,Node,Cloud Storage,AMD EPYC,600e818e-0f62-4aae-87c4-f8d9f0ae51d8,20,AMD Radeon Pro WX,DDR4,128,18,18,4.5,32,PrimeServer Pro Rack III Rack Server,china,5,4.5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:81
82,Node,SATA HDD,Intel Core i7,9acdc141-60aa-4d0d-9544-cf4db8dde05b,26,AMD Radeon Pro WX,DDR7,1024,24,24,8,341.3333333333333,PowerEdge R740 Rack Server,china,8.666666666666666,8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:82
83,Node,External SSD,AMD EPYC,850177c7-416c-4c36-af01-267199d88f9a,28,NVIDIA Tesla T4,DDR6,2048,26,32,6.5,512,ProLiant DL325 Gen10 Rack Server,china,7,8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:83
84,Node,M.2 SSD,AMD Ryzen,c5a91f0f-1bd9-49de-87cf-d9c373de203b,24,NVIDIA Quadro RTX,DDR5,512,22,22,3.6666666666666665,85.33333333333333,SuperServer 6019U Rack Server,china,4,3.6666666666666665,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:84
85,Node,NAS Storage,Intel Xeon,75f0b561-ff35-4f9b-a90e-d55af47cadac,30,AMD Radeon VII,DDR4,4096,28,48,9.333333333333334,1365.3333333333333,ThinkSystem SR530 Rack Server,china,10,16,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:85
86,Node,Cloud Storage,AMD EPYC,a97ce271-a82b-406d-8422-648838cc1cf0,20,AMD Radeon Pro WX,DDR4,128,18,18,3.6,25.6,PrimeServer Pro Rack III Rack Server,china,4,3.6,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:86
87,Node,Cloud Storage,AMD EPYC,f16c3372-7eec-4c66-8298-504003fa4fd5,20,AMD Radeon Pro WX,DDR4,128,18,18,4.5,32,PrimeServer Pro Rack III Rack Server,china,5,4.5,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:87
88,Node,SSD,Intel Xeon,53f3c9d1-aced-47dd-9974-f38e06f83a91,1,NVIDIA GeForce,DDR4,1,1,1,0.16666666666666666,0.16666666666666666,PowerEdge R660 Rack Server,china,0.16666666666666666,0.16666666666666666,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:88
89,Node,SATA SSD,Intel Core i7,d479763c-51e7-4357-a97a-96cabdef65eb,10,AMD Radeon,DDR7,16,8,8,2.6666666666666665,5.333333333333333,Precision 7920 Rack Workstation,china,3.3333333333333335,2.6666666666666665,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:89
90,Node,NAS Storage,Intel Xeon,2cbf3379-1330-4d91-a2f8-f72d0b75380b,30,AMD Radeon VII,DDR4,4096,28,48,4.666666666666667,682.6666666666666,ThinkSystem SR530 Rack Server,china,5,8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:90
91,Node,Hybrid Drive,AMD Ryzen Threadripper,a6db0263-0f03-4767-8a70-ee8c01803bff,12,NVIDIA GeForce RTX,DDR4,24,10,10,3.3333333333333335,8,SuperServer 10210U Rack Server,china,4,3.3333333333333335,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:91
92,Node,HDD,AMD Ryzen,6a083fd9-cbc9-498b-ad9b-d5abcdfa199e,2,NVIDIA Quadro,DDR3,2,2,2,1,1,ProLiant DL360 Gen10 Rack Server,china,1,1,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:92
93,Node,SATA HDD,Intel Core i7,a4c68fae-ef5d-4704-8d6b-d668d677c873,26,AMD Radeon Pro WX,DDR7,1024,24,24,4.8,204.8,PowerEdge R740 Rack Server,china,5.2,4.8,4:0ba6a09f-7829-4ffa-8a5a-a1b4b9d9ae6d:93
